English,Finnish,I don't like those ones.,En pidä niistä.
Finnish,English,aika hyvä,pretty good
Finnish,English,vieras kieli,foreign language
Finnish,English,aikoa,purpose
English,Russian,carriageway,проезжая часть
English,Finnish,research,tutkimusta
English,Russian,hone,оттачивать
English,Finnish,not really,ei oikeastaan
Finnish,English,kunto,condition
Finnish,English,mun piti,I had to
Finnish,English,en uskalla,I do not dare
Finnish,English,oon kuullu susta,I have heard of you
Finnish,English,pelasti,saved
Finnish,English,tää,this
French,English,métier,job
French,English,plutôt,instead
Finnish,English,yhtiö,company
Finnish,English,puolustuksen,defense
Finnish,English,arvioida,estimate
Finnish,English,ainakin,at least
Finnish,English,todistuksen,certificate
Finnish,English,sairaustodistuksen,medical certificate
Finnish,English,särkylääke,painkiller
Finnish,English,särky,ache
Finnish,English,levätä,rest
Finnish,English,tulehdus,inflammation
Finnish,English,korvasärkyä,earaches
Finnish,English,ahtas,cramped
Finnish,English,olo,feeling
English,Russian,culprit,преступник
Finnish,English,hakemus,application
Finnish,English,nähtävyys,attraction
Finnish,English,roskis,rubbish
Finnish,English,vuoksi,because of
Finnish,English,viranomaisten,authorities
Finnish,English,lisää,more
Finnish,English,turha,useless
Finnish,English,pois,off
Finnish,English,säilyke,canned
Finnish,English,suhde,ratio
Finnish,English,vuode,bed
Finnish,English,"tilanne
",situation
Finnish,English,peite,cover
Finnish,English,rakenne,structure
Finnish,English,raide,track
Finnish,English,sade,rain
Finnish,English,millaisena,as such
Finnish,English,ahdas,cramped
Finnish,English,kylä,village
Finnish,English,myöhään yöhön,late into the night
Finnish,English,vessaharjan,toilet brush
Finnish,English,kuohuviini,sparkling wine
Finnish,English,sulkapallo,badminton
Finnish,English,kerran kuussa,once a month
Finnish,English,toimenpide,measures
Finnish,English,hytti,cabin
Finnish,English,Laakso,Valley
Finnish,English,välissä,between
Finnish,English,alue,area
Finnish,English,enemmän,more
Finnish,English,hienoa,great
Finnish,English,enää,any more
Finnish,English,hidas,slow
Finnish,English,laiska,lazy
Finnish,English,pääte,terminal
Finnish,English,Kierto,Circulation
Finnish,English,raaka-aineiden,raw materials
Finnish,English,maapallo,the globe
Finnish,English,uudelleenkäyttö,reuse
English,Finnish,t-shirt,T-paita
Finnish,English,seisoa,stand
Finnish,English,hetkinen,Wait a minute
Finnish,English,kallis,expensive
English,Finnish,sleep,nukkua
Finnish,English,molemmilla,on both
Finnish,English,löydä,find
Finnish,English,harrastukset,hobbies
Finnish,English,päättää,decide
Finnish,English,taakse,behind
Finnish,English,suostua,agree
Finnish,English,ihastu,fall in love
Finnish,English,matkaopas,guide
Finnish,English,silloin,then
Finnish,English,palaute,feedback
Finnish,English,palautetta,feedback
Finnish,English,ulkopuolella,outside
Finnish,English,Minä olen kyllä sellainen muutenkin.,I am like that anyway.
Finnish,English,hymyilevä,smiling
Finnish,English,ennen,before
Finnish,English,yhä,still
Finnish,English,siellä,there
Finnish,English,aina,always
Finnish,English,kasvaa,grow
Finnish,English,linja-autonkuljettaja,bus driver
Finnish,English,aluksi,At first
Finnish,English,mielelläni,with pleasure
Finnish,English,harrastaa,cultivate
Finnish,English,lenkillä,jogging
Finnish,English,jossakin,somewhere
Finnish,English,koko ajan,all the time
Finnish,English,täytyy,must
Finnish,English,vietän,I export
Finnish,English,nykyisin,nowadays
Finnish,English,onnistun,I succeed
Finnish,English,arkikieli,everyday language
Finnish,English,osaamisen,competence
Finnish,English,käynyt,visited
Finnish,English,pysyvästi,permanently
Finnish,English,tavallista,normal
Finnish,English,muistan,I remember
Finnish,English,koululaisia,school children
Finnish,English,syyslomat,autumn holidays
Finnish,English,noin,about
Finnish,English,alkuperäinen,original
Finnish,English,käydä,visit
Finnish,English,näin,thus
Finnish,English,tapa,way
Finnish,English,työ,job
Finnish,English,sellainen,such
Finnish,English,jokin,one
Finnish,English,suorittaa,run
Finnish,English,oma,own
Finnish,English,osa,part
Finnish,English,vielä,yet
Finnish,English,mukaan,by
Finnish,English,ottaa,take
Finnish,English,sitten,then
Finnish,English,nämä,these
Finnish,English,luokka,class
Finnish,English,muu,other
Finnish,English,toinen,second
Finnish,English,vuosi,year
Finnish,English,kuin,than
Finnish,English,joka,which
Finnish,English,osoite,address
Finnish,English,mielenosoitus,demonstration
Finnish,English,parhaimmillaan,at its best
Finnish,English,taskuun,in your pocket
Finnish,English,tilata,order
Finnish,English,siitä,thence
Finnish,English,yhteydenpitoon,communication
Finnish,English,yleisimmät,the most common
Finnish,English,useat,several
Finnish,English,muutaman,a few
Finnish,English,kertamaksu,one-time fee
Finnish,English,ladata,charge
Finnish,English,vaan,but
Finnish,English,ilman,free
Finnish,English,säätiedotuksia,weather reports
Finnish,English,apu,help
Finnish,English,apuohjelma,utility
Finnish,English,siihen,thereto
Finnish,English,tavalla,way
Finnish,English,äly,intellect
Finnish,English,tasku,pocket
Finnish,English,koripallo,basketball
Finnish,English,yleinen,general
Russian,English,превосходящий,superior
Finnish,English,joulutavat,Christmas customs
Finnish,English,saada,get
Finnish,English,maistaa,taste
Finnish,English,tykkäsin,I liked it
Finnish,English,koskaan,ever
Finnish,English,Mitä olet mieltä?,What do you think?
Finnish,English,sairaanhoitaja,nurse
Finnish,English,yrittäjä,entrepreneur
Finnish,English,yrittäjiä,entrepreneurs
Finnish,English,yritys,company
Finnish,English,yrittää,try
Finnish,English,Vai mitä?,Or what?
Finnish,English,edessä,in front
English,Finnish,behind,takana
Finnish,English,"En tarvitse nyt apua, mutta kysyn jos tarvitsen.","I don't need help now, but I will ask if I need to."
Finnish,English,Katselen aluetta.,I'm looking at the area.
Finnish,English,tähdet,the stars
Finnish,English,Punnitse tämä,Weigh this
Finnish,English,viivakoodi,bar code
Finnish,English,hinta,price
Finnish,English,vihannesten myynti,sale of vegetables
Finnish,English,lukeminen,reading
Finnish,English,syöminen,eating
Finnish,English,häiritsee,disturbs
Finnish,English,tuttava,acquaintance
Finnish,English,Mitä on tapahtunut viime viikolla?,What has happened last week?
Finnish,English,Tapasin ystäviä.,I met friends.
Finnish,English,Pelaa lautapeliä.,Play a board game.
Finnish,English,Oliko teillä kiva ilta?,Did you have a nice evening?
Finnish,English,Pelasimme,We played
Finnish,English,Aika kuluu nopeasti.,Time passes quickly.
Finnish,English,sekä että,as well as the
Finnish,English,mielestäni,I think
Finnish,English,tavallisesti,usually
Finnish,English,työpaikan lähellä,close to the workplace
Finnish,English,Kokkaatko?,Do you cook?
Finnish,English,hakea,seek
Finnish,English,käydä hakemassa,go get
Finnish,English,sovellus,application
Finnish,English,salaattia tiskiltä,salad from the counter
Finnish,English,maun,taste
English,Finnish,I watch this,Katson tätä
English,Finnish,I watch,katson
English,Finnish,I see,näen
English,Finnish,I know him.,Tunnen hänet.
Finnish,English,ulko,outdoor
Finnish,English,usein,often
Finnish,English,aika,time
Finnish,English,ylös,up
Finnish,English,Kiinasta,From China
Finnish,English,iloa,joy
Finnish,English,levittää,spread
Finnish,English,ruoanlaiton,cooking
Finnish,English,tunnetuimpien,the most famous
Finnish,English,sianliha,pork
Finnish,English,saapuu,arrives
Finnish,English,lue,read
Finnish,English,kiinnostukseni,my interest
English,Finnish,to be,olla
Finnish,English,kiinnosta,of interest
Finnish,English,joista,of which
Finnish,English,lisäksi,in addition
English,Finnish,Instagram account,Instagram-tili
Finnish,English,sekä,mixed
English,Finnish,everyday,joka päivä
Finnish,English,Arkeaan,Everyday
Finnish,English,puolesta,on behalf of
English,Finnish,I know,Tiedän
Finnish,English,syy,reason
Finnish,English,noutaa,retrieve
Finnish,English,kutsuttu,invited
Finnish,English,poistuu,leaves
Finnish,English,ehtinyt,had time
Finnish,English,ainesosia,ingredients
Finnish,English,helpotukseksi,for relief
Finnish,English,ihmisiä,people
Finnish,English,piilottaa,hide
Finnish,English,valtavan,ever such
Finnish,English,varten,for
Finnish,English,lahja,gift
Finnish,English,kypärän,helmet
Finnish,English,työhaalarit,overalls
Finnish,English,hieno,fine
Finnish,English,hieno nainen,lady
Finnish,English,myöhässä,late
Finnish,English,jumppaa,exercise
Finnish,English,metsuri osastolle,lumberjack department
English,Finnish,stairs,portaat
English,Finnish,popular,suosittu
English,Finnish,to be interested,olla kiinnostunut
Finnish,English,kokkailu,cooking
Finnish,English,herätä,wake up
Finnish,English,pitää,keep
English,Finnish,usually,yleensä
English,Finnish,I hear that song.,Kuulen sen laulun.
English,Finnish,I listen to that song.,Kuuntelen tuota laulua.
English,Finnish,I see this picture.,Näen tämän kuvan.
English,Finnish,I blame him.,Syytän häntä.
Finnish,English,kylmyyttä,coldness
English,Finnish,I like you,Pidän sinusta
Finnish,English,ei koskaan,never
Finnish,English,viesti,message
English,Finnish,clear,asia selvä
Finnish,English,varmasti,certainly
Finnish,English,ylpeä,proud
Russian,English,это еще куда ни шло,it's still all right
Russian,English,speculate,speculate
English,Russian,unduly,чрезмерно
English,Russian,We're all frightened out of our wits.,Мы все испуганы до безумия.
English,Russian,obediently,послушно
English,Russian,My father was killed in the shaft fire.,Мой отец погиб в огне шахты.
English,Russian,bipartite graph,двудольный граф
English,Russian,convexity,выпуклость
English,Russian,merit,заслуга
English,Russian,deliverables,Практические результаты
Russian,English,Решить систему линейных уравнений,Solve a system of linear equations
English,Russian,landmark,ориентир
English,Russian,sorcerer,колдун
English,Russian,aptly,метко
English,Russian,pivotal,основной
English,Russian,piss off,разозлить
English,Russian,intact,неповрежденный
English,Russian,facilitate,содействовать
Russian,English,увлажняющий крем,moisturizing cream
English,Russian,encounter,столкновение
English,Russian,redeem,выкупать
English,Russian,rival,соперник
English,Russian,infinitesimal,бесконечно малый
English,Russian,versatile,разносторонний
English,Russian,opaque,непрозрачный
English,Russian,truncate,усекать
English,Russian,error-prone,подверженные ошибки
English,Russian,borne in mind,иметь в виду
English,Russian,comprise,включать
Russian,English,командировка,business trip
English,Russian,to build everything from scratch,строить все с нуля
English,Russian,smorgasbord,шведский стол
English,Russian,pithy,Содержательный
English,Russian,approve,одобрить
English,Russian,jointly,совместно
English,Russian,outperform,опережать
English,Russian,sneeze,чихать
English,Russian,shallow,мелкий
English,Russian,vague,расплывчатый
English,Russian,gist,суть
English,Russian,in flux,в потоке
English,Russian,adjust,регулировать
English,Russian,deliberate,преднамеренный
English,Russian,noteworthy,Заслуживающий внимания
English,Russian,approachable,Доступный
English,Russian,plausible,Правдоподобный
English,Russian,substantial,существенный
English,Russian,realm,область
English,Russian,superlative,превосходная степень
English,Russian,discrepancies,расхождения
English,Russian,remedy,средство
English,Russian,appositive,относящийся к приложению
English,Russian,existent,существующий
English,Russian,vast,огромный
English,Russian,joint,совместный
English,Russian,arbitrary complexity,произвольной сложности
English,Russian,oblique,косой
English,Russian,piecewise linear,кусочно-линейная
English,Russian,assess,оценить
English,Russian,herein,здесь
English,Russian,nondisclosure,неразглашение
English,Russian,hence,следовательно
English,Russian,amenity,удобства
English,Russian,diminishing,уменьшающийся
English,Russian,underscore,нижнее подчеркивание
English,Russian,compatible,совместимый
English,Russian,traversal,пересечение
English,Russian,cautiously,осторожно
English,Russian,solely simple,исключительно простой
English,Russian,favor,благоприятствовать
English,Russian,caveat,предостережение
Russian,English,пристрастный,biased
English,Russian,excerpt,выдержка
English,Russian,trade off,компромисс
English,Russian,elevation,высота
English,Russian,"If you recall,","Если вы помните,"
English,Russian,they are more likely to be correct.,они имеют больше шансов быть правильным.
English,Russian,extrapolate,экстраполировать
English,Russian,hazard function,функция риска
English,Russian,alongside,бок о бок
English,Russian,heir,наследник
English,Russian,straightforward,простой
English,Russian,sustainability,устойчивость
English,Russian,convince,убеждать
English,Russian,vastly,значительно
English,Russian,apparent,очевидный
English,Russian,self-driven,действующий по собственной инициативе
English,Russian,overall,в общем и целом
English,Russian,imposter,самозванец
English,Russian,erroneous,ошибочный
English,Russian,fallible,ошибочный
English,Russian,Rationale,обоснование
English,Russian,intermediary,посредник
English,Russian,cumbersome,громоздкий
English,Russian,drawback,недостаток
English,Russian,prevalence,распространенность
English,Russian,deficiencies,недостатки
English,Russian,within and across,внутри и вне
English,Russian,spatio-temporal,пространственно-временной
English,Russian,biases,уклоны
English,Russian,drastically,кардинально
English,Russian,hard-nosed,трезвый